ConfigID,R1A,R1B,R1C,R2A,R2B,R2C,R3A,R3B,R3C,R4A,R4B,R4C,SwitchStates,Status,Voltage_V,VoltageGroup,ConnectionClass,CellsInSeries,ActiveCells
#0078,0,1,1,1,0,0,1,0,0,0,0,0,011 100 100 000,valid,0,0 V (no output),none,0,""
#0079,1,1,1,1,0,0,1,0,0,0,0,0,111 100 100 000,short-circuit,0,Short Circuit,none,0,""
#0080,0,0,0,0,1,0,1,0,0,0,0,0,000 010 100 000,valid,0,0 V (no output),none,0,""
#0081,1,0,0,0,1,0,1,0,0,0,0,0,100 010 100 000,valid,0,0 V (no output),none,0,""
#0082,0,1,0,0,1,0,1,0,0,0,0,0,010 010 100 000,valid,0,0 V (no output),none,0,""
#0083,1,1,0,0,1,0,1,0,0,0,0,0,110 010 100 000,valid,0,0 V (no output),none,0,""
#0084,0,0,1,0,1,0,1,0,0,0,0,0,001 010 100 000,valid,0,0 V (no output),none,0,""
#0085,1,0,1,0,1,0,1,0,0,0,0,0,101 010 100 000,valid,0,0 V (no output),none,0,""
#0086,0,1,1,0,1,0,1,0,0,0,0,0,011 010 100 000,short-circuit,0,Short Circuit,none,0,""
#0087,1,1,1,0,1,0,1,0,0,0,0,0,111 010 100 000,short-circuit,0,Short Circuit,none,0,""
#0088,0,0,0,1,1,0,1,0,0,0,0,0,000 110 100 000,valid,0,0 V (no output),none,0,""
#0089,1,0,0,1,1,0,1,0,0,0,0,0,100 110 100 000,valid,0,0 V (no output),none,0,""
#0090,0,1,0,1,1,0,1,0,0,0,0,0,010 110 100 000,valid,0,0 V (no output),none,0,""
#0091,1,1,0,1,1,0,1,0,0,0,0,0,110 110 100 000,valid,0,0 V (no output),none,0,""
#0092,0,0,1,1,1,0,1,0,0,0,0,0,001 110 100 000,valid,0,0 V (no output),none,0,""
#0093,1,0,1,1,1,0,1,0,0,0,0,0,101 110 100 000,short-circuit,0,Short Circuit,none,0,""
#0094,0,1,1,1,1,0,1,0,0,0,0,0,011 110 100 000,short-circuit,0,Short Circuit,none,0,""
#0095,1,1,1,1,1,0,1,0,0,0,0,0,111 110 100 000,short-circuit,0,Short Circuit,none,0,""
#0096,0,0,0,0,0,1,1,0,0,0,0,0,000 001 100 000,valid,0,0 V (no output),none,0,""
#0097,1,0,0,0,0,1,1,0,0,0,0,0,100 001 100 000,valid,0,0 V (no output),none,0,""
#0098,0,1,0,0,0,1,1,0,0,0,0,0,010 001 100 000,valid,0,0 V (no output),none,0,""
#0099,1,1,0,0,0,1,1,0,0,0,0,0,110 001 100 000,valid,0,0 V (no output),none,0,""
#0100,0,0,1,0,0,1,1,0,0,0,0,0,001 001 100 000,valid,0,0 V (no output),none,0,""
#0101,1,0,1,0,0,1,1,0,0,0,0,0,101 001 100 000,short-circuit,0,Short Circuit,none,0,""
#0102,0,1,1,0,0,1,1,0,0,0,0,0,011 001 100 000,valid,0,0 V (no output),none,0,""
#0103,1,1,1,0,0,1,1,0,0,0,0,0,111 001 100 000,short-circuit,0,Short Circuit,none,0,""
#0104,0,0,0,1,0,1,1,0,0,0,0,0,000 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0105,1,0,0,1,0,1,1,0,0,0,0,0,100 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0106,0,1,0,1,0,1,1,0,0,0,0,0,010 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0107,1,1,0,1,0,1,1,0,0,0,0,0,110 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0108,0,0,1,1,0,1,1,0,0,0,0,0,001 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0109,1,0,1,1,0,1,1,0,0,0,0,0,101 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0110,0,1,1,1,0,1,1,0,0,0,0,0,011 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0111,1,1,1,1,0,1,1,0,0,0,0,0,111 101 100 000,short-circuit,0,Short Circuit,none,0,""
#0112,0,0,0,0,1,1,1,0,0,0,0,0,000 011 100 000,valid,0,0 V (no output),none,0,""
#0113,1,0,0,0,1,1,1,0,0,0,0,0,100 011 100 000,valid,0,0 V (no output),none,0,""
#0114,0,1,0,0,1,1,1,0,0,0,0,0,010 011 100 000,valid,0,0 V (no output),none,0,""
#0115,1,1,0,0,1,1,1,0,0,0,0,0,110 011 100 000,short-circuit,0,Short Circuit,none,0,""
#0116,0,0,1,0,1,1,1,0,0,0,0,0,001 011 100 000,valid,0,0 V (no output),none,0,""
#0117,1,0,1,0,1,1,1,0,0,0,0,0,101 011 100 000,short-circuit,0,Short Circuit,none,0,""
#0118,0,1,1,0,1,1,1,0,0,0,0,0,011 011 100 000,short-circuit,0,Short Circuit,none,0,""
#0119,1,1,1,0,1,1,1,0,0,0,0,0,111 011 100 000,short-circuit,0,Short Circuit,none,0,""
#0120,0,0,0,1,1,1,1,0,0,0,0,0,000 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0121,1,0,0,1,1,1,1,0,0,0,0,0,100 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0122,0,1,0,1,1,1,1,0,0,0,0,0,010 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0123,1,1,0,1,1,1,1,0,0,0,0,0,110 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0124,0,0,1,1,1,1,1,0,0,0,0,0,001 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0125,1,0,1,1,1,1,1,0,0,0,0,0,101 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0126,0,1,1,1,1,1,1,0,0,0,0,0,011 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0127,1,1,1,1,1,1,1,0,0,0,0,0,111 111 100 000,short-circuit,0,Short Circuit,none,0,""
#0128,0,0,0,0,0,0,0,1,0,0,0,0,000 000 010 000,valid,0,0 V (no output),none,0,""
#0129,1,0,0,0,0,0,0,1,0,0,0,0,100 000 010 000,valid,0,0 V (no output),none,0,""
#0130,0,1,0,0,0,0,0,1,0,0,0,0,010 000 010 000,valid,0,0 V (no output),none,0,""
#0131,1,1,0,0,0,0,0,1,0,0,0,0,110 000 010 000,valid,0,0 V (no output),none,0,""
#0132,0,0,1,0,0,0,0,1,0,0,0,0,001 000 010 000,valid,0,0 V (no output),none,0,""
#0133,1,0,1,0,0,0,0,1,0,0,0,0,101 000 010 000,valid,0,0 V (no output),none,0,""
#0134,0,1,1,0,0,0,0,1,0,0,0,0,011 000 010 000,valid,0,0 V (no output),none,0,""
#0135,1,1,1,0,0,0,0,1,0,0,0,0,111 000 010 000,valid,0,0 V (no output),none,0,""
#0136,0,0,0,1,0,0,0,1,0,0,0,0,000 100 010 000,valid,0,0 V (no output),none,0,""
#0137,1,0,0,1,0,0,0,1,0,0,0,0,100 100 010 000,valid,0,0 V (no output),none,0,""
#0138,0,1,0,1,0,0,0,1,0,0,0,0,010 100 010 000,valid,0,0 V (no output),none,0,""
#0139,1,1,0,1,0,0,0,1,0,0,0,0,110 100 010 000,valid,0,0 V (no output),none,0,""
#0140,0,0,1,1,0,0,0,1,0,0,0,0,001 100 010 000,valid,0,0 V (no output),none,0,""
#0141,1,0,1,1,0,0,0,1,0,0,0,0,101 100 010 000,short-circuit,0,Short Circuit,none,0,""
#0142,0,1,1,1,0,0,0,1,0,0,0,0,011 100 010 000,valid,0,0 V (no output),none,0,""
#0143,1,1,1,1,0,0,0,1,0,0,0,0,111 100 010 000,short-circuit,0,Short Circuit,none,0,""
#0144,0,0,0,0,1,0,0,1,0,0,0,0,000 010 010 000,valid,0,0 V (no output),none,0,""
#0145,1,0,0,0,1,0,0,1,0,0,0,0,100 010 010 000,valid,0,0 V (no output),none,0,""
#0146,0,1,0,0,1,0,0,1,0,0,0,0,010 010 010 000,valid,0,0 V (no output),none,0,""
#0147,1,1,0,0,1,0,0,1,0,0,0,0,110 010 010 000,valid,0,0 V (no output),none,0,""
#0148,0,0,1,0,1,0,0,1,0,0,0,0,001 010 010 000,valid,0,0 V (no output),none,0,""
#0149,1,0,1,0,1,0,0,1,0,0,0,0,101 010 010 000,valid,0,0 V (no output),none,0,""
#0150,0,1,1,0,1,0,0,1,0,0,0,0,011 010 010 000,short-circuit,0,Short Circuit,none,0,""
#0151,1,1,1,0,1,0,0,1,0,0,0,0,111 010 010 000,short-circuit,0,Short Circuit,none,0,""
#0152,0,0,0,1,1,0,0,1,0,0,0,0,000 110 010 000,valid,0,0 V (no output),none,0,""
#0153,1,0,0,1,1,0,0,1,0,0,0,0,100 110 010 000,valid,0,0 V (no output),none,0,""
#0154,0,1,0,1,1,0,0,1,0,0,0,0,010 110 010 000,valid,0,0 V (no output),none,0,""
#0155,1,1,0,1,1,0,0,1,0,0,0,0,110 110 010 000,valid,0,0 V (no output),none,0,""
#0156,0,0,1,1,1,0,0,1,0,0,0,0,001 110 010 000,valid,0,0 V (no output),none,0,""
#0157,1,0,1,1,1,0,0,1,0,0,0,0,101 110 010 000,short-circuit,0,Short Circuit,none,0,""
#0158,0,1,1,1,1,0,0,1,0,0,0,0,011 110 010 000,short-circuit,0,Short Circuit,none,0,""
#0159,1,1,1,1,1,0,0,1,0,0,0,0,111 110 010 000,short-circuit,0,Short Circuit,none,0,""
#0160,0,0,0,0,0,1,0,1,0,0,0,0,000 001 010 000,valid,0,0 V (no output),none,0,""
#0161,1,0,0,0,0,1,0,1,0,0,0,0,100 001 010 000,valid,0,0 V (no output),none,0,""
#0162,0,1,0,0,0,1,0,1,0,0,0,0,010 001 010 000,valid,0,0 V (no output),none,0,""
#0163,1,1,0,0,0,1,0,1,0,0,0,0,110 001 010 000,valid,0,0 V (no output),none,0,""
#0164,0,0,1,0,0,1,0,1,0,0,0,0,001 001 010 000,valid,0,0 V (no output),none,0,""
#0165,1,0,1,0,0,1,0,1,0,0,0,0,101 001 010 000,valid,0,0 V (no output),none,0,""
#0166,0,1,1,0,0,1,0,1,0,0,0,0,011 001 010 000,short-circuit,0,Short Circuit,none,0,""
#0167,1,1,1,0,0,1,0,1,0,0,0,0,111 001 010 000,short-circuit,0,Short Circuit,none,0,""
#0168,0,0,0,1,0,1,0,1,0,0,0,0,000 101 010 000,valid,0,0 V (no output),none,0,""
#0169,1,0,0,1,0,1,0,1,0,0,0,0,100 101 010 000,valid,0,0 V (no output),none,0,""
#0170,0,1,0,1,0,1,0,1,0,0,0,0,010 101 010 000,valid,0,0 V (no output),none,0,""
#0171,1,1,0,1,0,1,0,1,0,0,0,0,110 101 010 000,short-circuit,0,Short Circuit,none,0,""
#0172,0,0,1,1,0,1,0,1,0,0,0,0,001 101 010 000,valid,0,0 V (no output),none,0,""
#0173,1,0,1,1,0,1,0,1,0,0,0,0,101 101 010 000,short-circuit,0,Short Circuit,none,0,""
#0174,0,1,1,1,0,1,0,1,0,0,0,0,011 101 010 000,short-circuit,0,Short Circuit,none,0,""
#0175,1,1,1,1,0,1,0,1,0,0,0,0,111 101 010 000,short-circuit,0,Short Circuit,none,0,""
#0176,0,0,0,0,1,1,0,1,0,0,0,0,000 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0177,1,0,0,0,1,1,0,1,0,0,0,0,100 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0178,0,1,0,0,1,1,0,1,0,0,0,0,010 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0179,1,1,0,0,1,1,0,1,0,0,0,0,110 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0180,0,0,1,0,1,1,0,1,0,0,0,0,001 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0181,1,0,1,0,1,1,0,1,0,0,0,0,101 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0182,0,1,1,0,1,1,0,1,0,0,0,0,011 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0183,1,1,1,0,1,1,0,1,0,0,0,0,111 011 010 000,short-circuit,0,Short Circuit,none,0,""
#0184,0,0,0,1,1,1,0,1,0,0,0,0,000 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0185,1,0,0,1,1,1,0,1,0,0,0,0,100 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0186,0,1,0,1,1,1,0,1,0,0,0,0,010 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0187,1,1,0,1,1,1,0,1,0,0,0,0,110 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0188,0,0,1,1,1,1,0,1,0,0,0,0,001 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0189,1,0,1,1,1,1,0,1,0,0,0,0,101 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0190,0,1,1,1,1,1,0,1,0,0,0,0,011 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0191,1,1,1,1,1,1,0,1,0,0,0,0,111 111 010 000,short-circuit,0,Short Circuit,none,0,""
#0192,0,0,0,0,0,0,1,1,0,0,0,0,000 000 110 000,valid,0,0 V (no output),none,0,""
#0193,1,0,0,0,0,0,1,1,0,0,0,0,100 000 110 000,valid,0,0 V (no output),none,0,""
#0194,0,1,0,0,0,0,1,1,0,0,0,0,010 000 110 000,valid,0,0 V (no output),none,0,""
#0195,1,1,0,0,0,0,1,1,0,0,0,0,110 000 110 000,valid,0,0 V (no output),none,0,""
#0196,0,0,1,0,0,0,1,1,0,0,0,0,001 000 110 000,valid,0,0 V (no output),none,0,""
#0197,1,0,1,0,0,0,1,1,0,0,0,0,101 000 110 000,valid,0,0 V (no output),none,0,""
#0198,0,1,1,0,0,0,1,1,0,0,0,0,011 000 110 000,valid,0,0 V (no output),none,0,""
#0199,1,1,1,0,0,0,1,1,0,0,0,0,111 000 110 000,valid,0,0 V (no output),none,0,""
#0200,0,0,0,1,0,0,1,1,0,0,0,0,000 100 110 000,valid,0,0 V (no output),none,0,""
#0201,1,0,0,1,0,0,1,1,0,0,0,0,100 100 110 000,valid,0,0 V (no output),none,0,""
#0202,0,1,0,1,0,0,1,1,0,0,0,0,010 100 110 000,valid,0,0 V (no output),none,0,""
#0203,1,1,0,1,0,0,1,1,0,0,0,0,110 100 110 000,valid,0,0 V (no output),none,0,""
#0204,0,0,1,1,0,0,1,1,0,0,0,0,001 100 110 000,valid,0,0 V (no output),none,0,""
#0205,1,0,1,1,0,0,1,1,0,0,0,0,101 100 110 000,short-circuit,0,Short Circuit,none,0,""
#0206,0,1,1,1,0,0,1,1,0,0,0,0,011 100 110 000,short-circuit,0,Short Circuit,none,0,""
#0207,1,1,1,1,0,0,1,1,0,0,0,0,111 100 110 000,short-circuit,0,Short Circuit,none,0,""
#0208,0,0,0,0,1,0,1,1,0,0,0,0,000 010 110 000,valid,0,0 V (no output),none,0,""
#0209,1,0,0,0,1,0,1,1,0,0,0,0,100 010 110 000,valid,0,0 V (no output),none,0,""
#0210,0,1,0,0,1,0,1,1,0,0,0,0,010 010 110 000,valid,0,0 V (no output),none,0,""
#0211,1,1,0,0,1,0,1,1,0,0,0,0,110 010 110 000,valid,0,0 V (no output),none,0,""
#0212,0,0,1,0,1,0,1,1,0,0,0,0,001 010 110 000,valid,0,0 V (no output),none,0,""
#0213,1,0,1,0,1,0,1,1,0,0,0,0,101 010 110 000,short-circuit,0,Short Circuit,none,0,""
#0214,0,1,1,0,1,0,1,1,0,0,0,0,011 010 110 000,short-circuit,0,Short Circuit,none,0,""
#0215,1,1,1,0,1,0,1,1,0,0,0,0,111 010 110 000,short-circuit,0,Short Circuit,none,0,""
#0216,0,0,0,1,1,0,1,1,0,0,0,0,000 110 110 000,valid,0,0 V (no output),none,0,""
#0217,1,0,0,1,1,0,1,1,0,0,0,0,100 110 110 000,valid,0,0 V (no output),none,0,""
#0218,0,1,0,1,1,0,1,1,0,0,0,0,010 110 110 000,valid,0,0 V (no output),none,0,""
#0219,1,1,0,1,1,0,1,1,0,0,0,0,110 110 110 000,valid,0,0 V (no output),none,0,""
#0220,0,0,1,1,1,0,1,1,0,0,0,0,001 110 110 000,valid,0,0 V (no output),none,0,""
#0221,1,0,1,1,1,0,1,1,0,0,0,0,101 110 110 000,short-circuit,0,Short Circuit,none,0,""
#0222,0,1,1,1,1,0,1,1,0,0,0,0,011 110 110 000,short-circuit,0,Short Circuit,none,0,""
#0223,1,1,1,1,1,0,1,1,0,0,0,0,111 110 110 000,short-circuit,0,Short Circuit,none,0,""
#0224,0,0,0,0,0,1,1,1,0,0,0,0,000 001 110 000,valid,0,0 V (no output),none,0,""
#0225,1,0,0,0,0,1,1,1,0,0,0,0,100 001 110 000,valid,0,0 V (no output),none,0,""
#0226,0,1,0,0,0,1,1,1,0,0,0,0,010 001 110 000,valid,0,0 V (no output),none,0,""
#0227,1,1,0,0,0,1,1,1,0,0,0,0,110 001 110 000,valid,0,0 V (no output),none,0,""
#0228,0,0,1,0,0,1,1,1,0,0,0,0,001 001 110 000,valid,0,0 V (no output),none,0,""
#0229,1,0,1,0,0,1,1,1,0,0,0,0,101 001 110 000,short-circuit,0,Short Circuit,none,0,""
#0230,0,1,1,0,0,1,1,1,0,0,0,0,011 001 110 000,short-circuit,0,Short Circuit,none,0,""
#0231,1,1,1,0,0,1,1,1,0,0,0,0,111 001 110 000,short-circuit,0,Short Circuit,none,0,""
#0232,0,0,0,1,0,1,1,1,0,0,0,0,000 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0233,1,0,0,1,0,1,1,1,0,0,0,0,100 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0234,0,1,0,1,0,1,1,1,0,0,0,0,010 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0235,1,1,0,1,0,1,1,1,0,0,0,0,110 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0236,0,0,1,1,0,1,1,1,0,0,0,0,001 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0237,1,0,1,1,0,1,1,1,0,0,0,0,101 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0238,0,1,1,1,0,1,1,1,0,0,0,0,011 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0239,1,1,1,1,0,1,1,1,0,0,0,0,111 101 110 000,short-circuit,0,Short Circuit,none,0,""
#0240,0,0,0,0,1,1,1,1,0,0,0,0,000 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0241,1,0,0,0,1,1,1,1,0,0,0,0,100 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0242,0,1,0,0,1,1,1,1,0,0,0,0,010 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0243,1,1,0,0,1,1,1,1,0,0,0,0,110 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0244,0,0,1,0,1,1,1,1,0,0,0,0,001 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0245,1,0,1,0,1,1,1,1,0,0,0,0,101 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0246,0,1,1,0,1,1,1,1,0,0,0,0,011 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0247,1,1,1,0,1,1,1,1,0,0,0,0,111 011 110 000,short-circuit,0,Short Circuit,none,0,""
#0248,0,0,0,1,1,1,1,1,0,0,0,0,000 111 110 000,short-circuit,0,Short Circuit,none,0,""
